Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
MECH541,1,Renewable Energy,3,Omar Berjawi,M W,8:00:00 AM,9:15:00 AM,H003,
MECH595A,1,BE Summative Learning Project I,3,Nadim Diab,,,,,
MECH685II,1,Advanced Topics in Mechanical Engineering,3,Bassam Moslem,M W,3:30:00 PM,4:45:00 PM,H103,
PHIL310,1,Philosophers of Peace,3,Mira Alameddine,M W,2:00:00 PM,3:15:00 PM,F207,Humanities
PHYS190,1,General Physics - Mechanics,3,Husam Salami,M W,3:30:00 PM,4:45:00 PM,H102,Freshman and Remedial Course
PHYS191,1,General Physics - Electricity and Magnetism,3,Ahmad Tarhini,T R,1:30:00 PM,2:45:00 PM,H103,Freshman and Remedial Course
PHYS210,1,Fundamentals of Physics and Lab,3,Ahmad Tarhini,T R,3:00:00 PM,4:15:00 PM,H103,
PHYS211,1,Physics: Electricity and Magnetism and Lab,3,Husam Salami,M W,2:00:00 PM,3:15:00 PM,H102,
PHYS212L,1,Physics Lab,1,Roba AlHajj,F,8:00:00 AM,9:40:00 AM,I229,
PHYS212L,2,Physics Lab,1,Roba AlHajj,F,10:00:00 AM,11:40:00 AM,I229,
PHYS212L,3,Physics Lab,1,Roba AlHajj,F,1:00:00 PM,2:40:00 PM,I229,
POSC301,1,Introduction to Political Science,3,Nisreen Sinjab,T R,3:00:00 PM,4:15:00 PM,H004,Social Science
PSYC301,1,Introduction to Psychology,3,Kamal Nahas,M W,12:30:00 PM,1:45:00 PM,F201,Social Science
PSYC401,1,Emotional Intelligence,3,Nashrawan Mourad,T R,1:30:00 PM,2:45:00 PM,F103,Social Science
PSYC410,1,Abnormal Psychology,3,Nashrawan Mourad,T R,3:00:00 PM,4:15:00 PM,F103,Social Science
SOCI190,1,Freshman Sociology,3,Kamal Nahas,M W,2:00:00 PM,3:15:00 PM,F201,Freshman Social Science
SOCI310,1,Intercultural Communication,3,Najwa Fares,T R,9:30:00 AM,10:45:00 AM,F202,Social Science
SOCI410,1,Culture and Identity,3,Grasiella Harb,M W,8:00:00 AM,9:15:00 AM,H103,Social Science
