Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
BIOM685III,1,Advanced Topics in Biomedical Engineering,3,Bassam Moslem,M W,3:30:00 PM,4:45:00 PM,H103,
BITM200,1,IT Management Essentials,3,Staff Staff,M W,8:00:00 AM,9:15:00 AM,G LAB1,
BITM200,2,IT Management Essentials,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,G LAB2,
BITM200,3,IT Management Essentials,3,Staff Staff,T R,3:00:00 PM,4:15:00 PM,G LAB2,
BITM300,1,Business Information Technology Management,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,H103,
BITM300,2,Business Information Technology Management,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,H002,
BITM310,1,Database Management Systems,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,G LAB2,
BITM320,1,Enterprise Resource Planning,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,G LAB1,
BITM350,1,Fundamentals of Data Analytics,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,G LAB2,
BITM350,2,Fundamentals of Data Analytics,3,Staff Staff,M W,11:00:00 AM,12:15:00 PM,G LAB2,
BITM401,1,Web Programming,3,Staff Staff,M W,11:00:00 AM,12:15:00 PM,G LAB1,
BITM415,1,Business Intelligence,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,G LAB1,
BITM450,1,Big Data Analytics,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,G LAB1,
BMGT200,1,Introduction to Management,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,H003,
BMGT200,2,Introduction to Management,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,H205,
BMGT300,1,Project Management,3,Staff Staff,T R,12:00:00 PM,1:15:00 PM,H103,
BMGT400,1,Operations Management,3,Staff Staff,M W,9:30:00 AM,10:45:00 AM,H203,
BMGT505,1,Contemporary Management and International Business,3,Staff Staff,W,4:30:00 PM,7:15:00 PM,F201,
BMKA200,1,Introduction to Marketing,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,H202,
BMKA200,2,Introduction to Marketing,3,Staff Staff,T R,9:30:00 AM,10:45:00 AM,H202,
BMKA310,1,Consumer Behavior,3,Staff Staff,M W,11:00:00 AM,12:15:00 PM,H203,
BMKA430,1,Advertising Design and Creativity,3,Staff Staff,T R,8:00:00 AM,9:15:00 AM,ILABVI,
BMKA430,2,Advertising Design and Creativity,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,ILABVI,
BMKA440,1,Social Media Marketing,3,Staff Staff,T R,9:30:00 AM,10:45:00 AM,H205,
CCEE534,1,Signal Processing,3,Oussama Mustafa,M W,8:00:00 AM,9:15:00 AM,B203,
CCEE534,2,Signal Processing,3,Oussama Mustafa,M W,11:00:00 AM,12:15:00 PM,H204,
CCEE221,1,Logic Design,3,Bassam Moslem,M W,9:30:00 AM,10:45:00 AM,H004,
CCEE221,2,Logic Design,3,Bassam Moslem,M W,2:00:00 PM,3:15:00 PM,H103,
CCEE221L,1,Logic Design Lab,1,Milana Kasab,T,9:30:00 AM,11:00:00 AM,ElectLab,
CCEE221L,2,Logic Design Lab,1,Milana Kasab,R,9:30:00 AM,11:00:00 AM,ElectLab,
CCEE324,1,Computer Organization,3,Staff Staff,T R,9:30:00 AM,10:45:00 AM,H005,
CCEE324,2,Computer Organization,3,Staff Staff,T R,1:30:00 PM,2:45:00 PM,H104,
CCEE331,1,Signals and Systems,3,Rouaa El Chamaa,M W,3:30:00 PM,4:45:00 PM,B203,
CCEE331,2,Signals and Systems,3,Rouaa El Chamaa,T R,12:00:00 PM,1:15:00 PM,H104,
CCEE426,1,Design of Embedded Systems,3,Bassam Moslem,T R,9:30:00 AM,10:45:00 AM,H104,
CCEE426L,1,Design of Embedded Systems Lab,1,Milana Kasab,M,1:55:00 PM,3:25:00 PM,ElectLab,
CCEE426L,2,Design of Embedded Systems Lab,1,Milana Kasab,W,1:55:00 PM,3:25:00 PM,ElectLab,
CCEE444,1,Antennas and Propagation,3,Oussama Mustafa,T R,12:00:00 PM,1:15:00 PM,H204,
CCEE444L,1,Antennas and Propagation Lab,1,Oussama Mustafa,T,3:00:00 PM,4:40:00 PM,COMMLAB,
CCEE447,1,Digital Communications,3,Oussama Mustafa,M W,12:30:00 PM,1:45:00 PM,H204,
CCEE447L,1,Communications Lab,1,Rouaa El Chamaa,M,10:55:00 AM,12:25:00 PM,COMMLAB,
CCEE447L,2,Communications Lab,1,Rouaa El Chamaa,W,10:55:00 AM,12:25:00 PM,COMMLAB,
CCEE454,1,Computer Networks,3,Amal Arid,M W,11:00:00 AM,12:15:00 PM,H205,
CCEE454,2,Computer Networks,3,Amal Arid,M W,2:00:00 PM,3:15:00 PM,H205,
CCEE454L,1,Computer Networks Lab I,1,Amal Arid,M,7:55:00 AM,9:25:00 AM,C Lab IV,
CCEE454L,2,Computer Networks Lab I,1,Amal Arid,T,3:00:00 PM,4:40:00 PM,C Lab IV,
CCEE499,1,Coop Work Experience,1,Placement Office Coop and,,,,,
CCEE521,1,Hardware-Software Co-design,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,H002,
CCEE528,1,Computer Architecture,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,H002,
CCEE554L,1,Computer Networks Lab II,1,Amal Arid,W,7:55:00 AM,9:25:00 AM,COMMLAB,
CCEE554L,2,Computer Networks Lab II,1,Amal Arid,R,3:00:00 PM,4:40:00 PM,COMMLAB,
CCEE555L,1,Computer Networks Lab III,1,Amal Arid,T,1:25:00 PM,2:55:00 PM,C LAB III,
CCEE556L,1,Computer Networks Lab IV,1,Amal Arid,R,1:25:00 PM,2:55:00 PM,C LAB III,
CCEE566,1,Natural Language Processing,3,Rouaa El Chamaa,T R,3:00:00 PM,4:15:00 PM,B204,
CCEE595A,1,BE Summative Learning Project I,3,Staff Staff,,,,,
CCEE685VII,1,Advanced Topics in CCE: From Data to AI,3,Bassam Moslem,M W,3:30:00 PM,4:45:00 PM,H103,
CHEM160,1,Chemistry I,3,Inas Abdel Malak,M W,9:30:00 AM,10:45:00 AM,B204,Freshman and Remedial Course
CHEM211,1,Environmental Chemistry and Lab,3,Inas Abdel Malak,M W,11:00:00 AM,11:50:00 AM,B204,
CHEM211L,1,Environmental Chemistry Lab,0,Inas Abdel Malak,M,12:00:00 PM,1:30:00 PM,B103,
CHEM211L,2,Environmental Chemistry Lab,0,Roba AlHajj,T,11:55:00 AM,1:25:00 PM,B103,
CIVE211,1,Statics,3,May Mrad,M W,9:30:00 AM,10:45:00 AM,D201,
CIVE211,2,Statics,3,Rana HajChhade,M W,2:00:00 PM,3:15:00 PM,H003,
CIVE312,1,Structural Analysis I,3,Meheddene Machaka,T R,1:30:00 PM,2:45:00 PM,D201,
CIVE321,1,Construction Materials,3,Riad Wardany,T R,9:30:00 AM,10:45:00 AM,D201,
CIVE321L,1,Construction Materials Laboratory,1,May Mrad,F,8:00:00 AM,9:40:00 AM,Civil Lab,
CIVE341,1,Highway Engineering,3,Riad Wardany,M W,12:30:00 PM,1:45:00 PM,D201,
CIVE413,1,Computer Modeling of Structures,3,Meheddene Machaka,M W,8:00:00 AM,9:15:00 AM,C LAB III,
CIVE415,1,Concrete II,3,Meheddene Machaka,M W,11:00:00 AM,12:15:00 PM,D203,
CIVE423,1,Soil Mechanics,3,Riad Wardany,M W,9:30:00 AM,10:45:00 AM,F102,
CIVE423L,1,Soil Mechanics Laboratory,1,May Mrad,T,1:20:00 PM,2:55:00 PM,Civil Lab,
CIVE432,1,Environmental Engineering,3,May Mrad,T R,12:00:00 PM,1:15:00 PM,D201,
CIVE435,1,Hydraulics,3,May Mrad,T R,9:30:00 AM,10:45:00 AM,D203,
CIVE499,1,Co-op Work Experience,1,Placement Office Coop and,,,,,
CIVE501,1,Construction Planning and Management,3,Rana HajChhade,T R,1:30:00 PM,2:45:00 PM,B204,
CIVE506,1,LEED and Green Construction Principles,3,Rana HajChhade,M W,12:30:00 PM,1:45:00 PM,B203,
CIVE524,1,Nondestructive Evaluation & Instrumentation,3,Riad Wardany,T R,12:00:00 PM,1:15:00 PM,D203,
CIVE595A,1,BE Summative Learning Project I,3,Staff Staff,,,,,
CIVE595B,1,BE Summative Learning Project II,3,Meheddene Machaka,,,,,
CMNS200,1,Etiquette,1,Mirna Talhouk,M,9:30:00 AM,10:45:00 AM,H102,Community and Sustainability
CMNS200,2,Etiquette,1,Mirna Talhouk,W,9:30:00 AM,10:45:00 AM,H102,Community and Sustainability
CMNS205,1,First Aid,1,Roba AlHajj,R,9:30:00 AM,10:45:00 AM,H004,Community and Sustainability
CMNS360,1,Ethics in Communication,3,Nisreen Sinjab,T R,1:30:00 PM,2:45:00 PM,H004,Humanities
CMNS370,1,Videography in Media,3,Saber Abdallah,M W,9:30:00 AM,10:45:00 AM,I215,Fine Arts
COSC399,1,COOP Work Experience,1,Placement Office Coop and,,,,,
COSC214,1,Introduction to Programming,3,Ali Rammal,M W F,8:00:00 AM,9:40:00 AM,H002/C LAB III,
COSC214,2,Introduction to Programming,3,Ali Rammal,M W F,9:30:00 AM,11:40:00 AM,H002/C LAB III,
COSC214,3,Introduction to Programming,3,Roaa Soloh,M W F,8:00:00 AM,11:30:00 AM,D201/I228,
COSC214,4,Introduction to Programming,3,Mohamad alAbed,T R F,8:00:00 AM,11:40:00 AM,D204/G LAB1,
COSC214,5,Introduction to Programming,3,Mohamad alAbed,T R F,10:00:00 AM,12:50:00 PM,H002/G LAB1,
COSC316,1,Design and Analysis of Algorithms,3,Ali Rammal,T R,12:00:00 PM,1:15:00 PM,I228,
COSC333,1,Web Programming,3,Roaa Soloh,T R,8:00:00 AM,9:15:00 AM,I228,
COSC333,2,Web Programming,3,Roaa Soloh,T R,9:30:00 AM,10:45:00 AM,I228,
COSC421,1,Theory of Computation,3,Roaa Soloh,M W,11:00:00 AM,12:15:00 PM,H002,
COSC451,1,Operating Systems,3,Ali Rammal,T R,8:00:00 AM,9:15:00 AM,H104,
